      Star               S/N  Teff   err  logg  errR  errA [Fe/H] errR  errA  micro errR  errA     ab(C)  errR  errA  [C/Fe]  errR  errA   N N3    ab(Mg)  errR  errA [Mg/Fe]  errR  errA   N N3    ab(Al)  errR  errA [Al/Fe]  errR  errA   N N3    ab(Ca)  errR  errA [Ca/Fe]  errR  errA   N N3    ab(Sc)  errR  errA [Sc/Fe]  errR  errA   N N3    ab(Ti)  errR  errA [Ti/Fe]  errR  errA   N N3     ab(V)  errR  errA  [V/Fe]  errR  errA   N N3    ab(Cr)  errR  errA [Cr/Fe]  errR  errA   N N3    ab(Mn)  errR  errA [Mn/Fe]  errR  errA   N N3    ab(Fe)  errR  errA [Fe/Fe]  errR  errA   N N3    ab(Co)  errR  errA [Co/Fe]  errR  errA   N N3    ab(Ni)  errR  errA [Ni/Fe]  errR  errA   N N3    ab(Zn)  errR  errA [Zn/Fe]  errR  errA   N N3    ab(Sr)  errR  errA [Sr/Fe]  errR  errA   N N3     ab(Y)  errR  errA  [Y/Fe]  errR  errA   N N3    ab(Zr)  errR  errA [Zr/Fe]  errR  errA   N N3    ab(Ba)  errR  errA [Ba/Fe]  errR  errA   N N3    ab(La)  errR  errA [La/Fe]  errR  errA   N N3    ab(Ce)  errR  errA [Ce/Fe]  errR  errA   N N3    ab(Nd)  errR  errA [Nd/Fe]  errR  errA   N N3    ab(Sm)  errR  errA [Sm/Fe]  errR  errA   N N3    ab(Eu)  errR  errA [Eu/Fe]  errR  errA   N N3
        HE1430-0026       53  5855   100  4.12  0.26  0.36 -2.79  0.11  0.17  1.38  0.14  0.24      6.13  0.17  0.24    0.52  0.17  0.26   1  1      5.09  0.11  0.17    0.29  0.15  0.23   7  2      2.79  0.14  0.21   -0.89  0.15  0.25   1  1      3.89  0.11  0.20    0.31  0.14  0.24   9  6      0.49  0.18  0.23    0.10  0.17  0.27   5  1      2.52  0.16  0.22    0.28  0.16  0.26  17  6     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.60  0.15  0.20   -0.29  0.15  0.23   3  3      2.02  0.16  0.20   -0.59  0.16  0.24   5  3      4.72  0.11  0.17    0.00  0.14  0.22  55 37      2.49  0.15  0.21    0.35  0.16  0.25   6  3      3.38  0.16  0.20   -0.09  0.16  0.23   4  2     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.03  0.19  0.27   -0.22  0.19  0.29   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.91  0.18  0.23   -0.26  0.17  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1430-1123       43  5915   100  3.75  0.29  0.39 -2.71  0.13  0.18  1.40  0.16  0.26      7.53  0.16  0.24    1.84  0.18  0.28   1  1      5.23  0.13  0.19    0.35  0.16  0.24   7  2      2.86  0.15  0.22   -0.91  0.16  0.26   1  1      4.13  0.11  0.20    0.47  0.15  0.25   9  5      0.84  0.18  0.23    0.37  0.17  0.26   5  2      2.57  0.17  0.22    0.25  0.16  0.25  17  5     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.97  0.16  0.21   -0.00  0.16  0.23   3  2      2.12  0.16  0.20   -0.57  0.16  0.24   5  3      4.80  0.13  0.18    0.00  0.14  0.22  55 31      2.61  0.14  0.20    0.39  0.15  0.25   6  2      3.34  0.17  0.21   -0.21  0.17  0.23   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.51  0.21  0.30    0.24  0.19  0.29   3  2      0.05  0.30  0.33    0.50  0.26  0.32   6  1     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      1.25  0.14  0.21    1.82  0.16  0.23   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0      0.53  0.23  0.27    1.72  0.20  0.28   9  1     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1431-2142       53  6137   100  4.10  0.25  0.35 -2.60  0.13  0.18  1.55  0.14  0.24      6.28  0.17  0.24    0.48  0.18  0.28   1  1      5.34  0.12  0.18    0.35  0.15  0.23   7  2      2.85  0.14  0.21   -1.02  0.15  0.25   1  1      4.13  0.10  0.20    0.37  0.16  0.26   9  7      0.82  0.17  0.23    0.24  0.16  0.25   5  2      2.79  0.15  0.21    0.36  0.15  0.23  17  6     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.95  0.14  0.19   -0.13  0.15  0.22   3  3      2.30  0.15  0.19   -0.50  0.15  0.23   5  3      4.90  0.13  0.18    0.00  0.14  0.22  55 33      2.56  0.15  0.21    0.23  0.15  0.25   6  1      3.69  0.15  0.20    0.04  0.15  0.22   4  2     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.34  0.20  0.28   -0.03  0.18  0.28   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.34  0.18  0.23    0.13  0.16  0.25   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   0  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE1500-1628       45  4994   100  2.10  0.25  0.35 -2.31  0.12  0.18  1.85  0.13  0.23      6.21  0.20  0.26    0.13  0.18  0.27   1  1      5.45  0.11  0.18    0.18  0.15  0.23   7  6      3.15  0.20  0.28   -1.01  0.21  0.29   1  1      3.87  0.12  0.20   -0.18  0.14  0.24   9  7      0.90  0.18  0.23    0.04  0.17  0.26   5  5      2.48  0.16  0.21   -0.23  0.15  0.24  17 15      1.52  0.16  0.20   -0.18  0.16  0.24   3  2      3.05  0.18  0.28   -0.31  0.18  0.27   3  3      2.80  0.15  0.20   -0.29  0.15  0.23   5  5      5.19  0.12  0.18    0.00  0.14  0.22  55 54      2.77  0.17  0.24    0.15  0.16  0.25   6  5      3.95  0.18  0.32    0.01  0.19  0.31   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -1.10  0.24  0.30   -1.76  0.20  0.30   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.85  0.19  0.23   -1.68  0.17  0.26   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE2133-1432       46  5716   100  3.46  0.24  0.34 -2.02  0.12  0.18  1.46  0.13  0.23      6.49  0.17  0.24    0.12  0.17  0.26   1  1      5.90  0.12  0.18    0.33  0.15  0.23   7  4      3.67  0.12  0.23   -0.78  0.17  0.26   1  1      4.72  0.11  0.20    0.38  0.15  0.25   9  8      1.21  0.18  0.23    0.06  0.16  0.25   5  4      3.27  0.15  0.21    0.27  0.15  0.24  17 14     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.59  0.16  0.24   -0.06  0.16  0.24   3  3      2.89  0.16  0.22   -0.49  0.16  0.23   5  3      5.48  0.12  0.18    0.00  0.14  0.22  55 50      2.89  0.15  0.22   -0.01  0.15  0.25   6  4      4.03  0.15  0.24   -0.20  0.16  0.24   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      1.06  0.17  0.25    0.10  0.16  0.26   3  2      0.12  0.18  0.23   -0.10  0.16  0.26   6  2      1.10  0.18  0.23    0.52  0.17  0.26   3  1      0.06  0.22  0.27   -0.05  0.20  0.27   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE2134+0001       37  5257   100  3.00  0.25  0.35 -2.22  0.12  0.19  1.55  0.14  0.24      6.38  0.21  0.26    0.20  0.18  0.27   1  1      5.75  0.12  0.18    0.38  0.14  0.23   7  4      3.42  0.16  0.25   -0.83  0.18  0.27   1  1      4.54  0.12  0.21    0.40  0.14  0.24   9  8      1.00  0.18  0.23    0.05  0.16  0.26   5  3      3.04  0.17  0.22    0.24  0.16  0.25  17 14      1.78  0.16  0.20    0.00  0.15  0.24   3  1      3.48  0.16  0.26    0.03  0.17  0.26   3  3      2.89  0.11  0.22   -0.28  0.19  0.26   5  3      5.28  0.12  0.19    0.00  0.14  0.22  55 52      2.85  0.17  0.23    0.14  0.16  0.25   6  5      3.87  0.20  0.29   -0.16  0.20  0.28   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.67  0.17  0.25   -0.08  0.17  0.27   3  2     -0.22  0.19  0.24   -0.24  0.17  0.27   6  2      0.76  0.18  0.23    0.38  0.16  0.27   3  1     -0.51  0.25  0.29   -0.42  0.23  0.31   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   0  0     -1.24  0.19  0.24    0.47  0.16  0.27   4  1
        HE2139-1851       83  4925   100  1.86  0.25  0.35 -3.25  0.13  0.18  1.78  0.12  0.22      5.64  0.19  0.26    0.49  0.18  0.28   1  1      4.70  0.11  0.18    0.36  0.15  0.24   7  6      2.31  0.14  0.22   -0.92  0.15  0.25   1  1      3.44  0.12  0.20    0.33  0.15  0.25   9  7     -0.02  0.17  0.22    0.06  0.15  0.24   5  4      2.04  0.16  0.21    0.26  0.15  0.23  17 13     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.01  0.15  0.21   -0.41  0.15  0.23   3  3      1.23  0.16  0.21   -0.91  0.15  0.23   5  3      4.26  0.13  0.18    0.00  0.14  0.22  55 47      1.92  0.15  0.22    0.25  0.15  0.24   6  6      2.95  0.16  0.23   -0.05  0.15  0.23   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.02  0.20  0.32    0.29  0.19  0.31   3  2     -1.06  0.18  0.23   -0.05  0.16  0.24   6  3     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -2.01  0.18  0.23   -0.90  0.16  0.24   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE2143+0030       43  4688   100  1.50  0.25  0.35 -2.43  0.12  0.19  1.91  0.12  0.22      5.60  0.21  0.26   -0.36  0.18  0.27   1  1      5.37  0.11  0.19    0.22  0.15  0.23   7  7      3.33  0.17  0.26   -0.71  0.19  0.27   1  1      4.04  0.12  0.20    0.11  0.14  0.25   9  8      0.66  0.16  0.21   -0.08  0.15  0.25   5  5      2.70  0.16  0.21    0.11  0.15  0.24  17 17      1.38  0.15  0.20   -0.19  0.15  0.23   3  3      2.99  0.17  0.30   -0.24  0.16  0.26   3  3      2.62  0.14  0.19   -0.34  0.15  0.23   5  4      5.07  0.12  0.19    0.00  0.14  0.22  55 52      2.41  0.17  0.24   -0.08  0.16  0.25   6  6      3.98  0.19  0.30    0.17  0.19  0.27   4  4      2.45  0.14  0.21    0.28  0.15  0.27   2  1      0.45  0.18  0.25   -0.09  0.17  0.26   3  2     -0.57  0.18  0.23   -0.37  0.15  0.26   6  5      0.21  0.17  0.22    0.04  0.15  0.26   3  2     -0.68  0.28  0.35   -0.38  0.25  0.33   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -1.93  0.18  0.23   -0.01  0.15  0.27   4  3
        HE2145-3025       26  5608   100  2.22  0.29  0.39 -2.69  0.14  0.19  2.47  0.15  0.25     -9.99  0.00  0.00   -9.99  0.00  0.00   1  0      5.25  0.12  0.18    0.36  0.16  0.24   7  1      3.04  0.17  0.23   -0.73  0.17  0.26   1  1      4.02  0.12  0.20    0.35  0.15  0.25   9  1      0.65  0.18  0.23    0.17  0.16  0.24   5  2      2.67  0.17  0.22    0.35  0.15  0.23  17  5     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.80  0.16  0.21   -0.18  0.15  0.23   3  3     -9.99  0.00  0.00   -9.99  0.00  0.00   5  0      4.81  0.14  0.19    0.00  0.14  0.22  55 25     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0      3.49  0.17  0.22   -0.07  0.16  0.23   4  1     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.74  0.27  0.37    0.46  0.25  0.36   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -0.87  0.20  0.25   -0.31  0.17  0.24   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE2150-0825       39  5960   100  3.67  0.26  0.36 -1.98  0.12  0.18  1.57  0.15  0.25      7.76  0.16  0.23    1.35  0.17  0.27   1  1      5.95  0.12  0.18    0.36  0.15  0.24   7  5      3.40  0.17  0.24   -1.09  0.18  0.26   1  1      4.83  0.11  0.20    0.46  0.15  0.25   9  8      1.41  0.18  0.23    0.22  0.16  0.26   5  4      3.35  0.16  0.21    0.31  0.15  0.24  17 12     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.76  0.17  0.25    0.07  0.17  0.25   3  3      3.03  0.15  0.20   -0.37  0.15  0.23   5  3      5.52  0.12  0.18    0.00  0.14  0.22  55 47      2.95  0.15  0.22    0.02  0.16  0.25   6  3      3.99  0.17  0.23   -0.27  0.17  0.24   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      1.64  0.15  0.23    0.66  0.16  0.25   3  1      1.10  0.18  0.23    0.85  0.17  0.25   6  5      1.59  0.18  0.23    0.97  0.17  0.26   3  1      1.85  0.14  0.19    1.70  0.15  0.22   2  2      0.60  0.16  0.22    1.41  0.16  0.25   6  5      1.08  0.18  0.25    1.48  0.17  0.28  10  1      0.93  0.18  0.23    1.42  0.17  0.26   9  2     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE2151-2858       42  5598   100  4.14  0.25  0.35 -2.38  0.11  0.18  1.39  0.15  0.25      6.11  0.19  0.24    0.10  0.18  0.26   1  1      5.57  0.12  0.18    0.37  0.14  0.24   7  4      3.48  0.12  0.25   -0.61  0.17  0.27   1  1      4.28  0.12  0.20    0.30  0.14  0.24   9  8      0.85  0.18  0.23    0.06  0.18  0.28   5  3      2.91  0.13  0.19    0.27  0.15  0.24  17 10     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.17  0.15  0.22   -0.12  0.16  0.24   3  3      2.48  0.16  0.21   -0.53  0.17  0.25   5  2      5.12  0.11  0.18    0.00  0.14  0.22  55 41      2.64  0.16  0.22    0.10  0.16  0.26   6  4      3.75  0.16  0.24   -0.12  0.18  0.25   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.31  0.18  0.26   -0.29  0.19  0.29   3  2     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   0  0     -0.50  0.20  0.24   -0.26  0.19  0.29   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE2153-2719       73  4898   100  2.01  0.23  0.33 -2.49  0.12  0.18  1.80  0.12  0.22      6.02  0.21  0.27    0.12  0.19  0.27   1  1      5.46  0.11  0.18    0.36  0.15  0.23   7  6      3.47  0.13  0.24   -0.51  0.15  0.25   1  1      4.20  0.12  0.20    0.33  0.14  0.24   9  9      0.82  0.18  0.23    0.14  0.15  0.25   5  4      2.77  0.16  0.21    0.24  0.15  0.23  17 17      1.52  0.16  0.20    0.01  0.15  0.23   3  3      3.10  0.15  0.28   -0.08  0.16  0.27   3  3      2.50  0.14  0.20   -0.41  0.15  0.23   5  5      5.01  0.12  0.18    0.00  0.14  0.22  55 54      2.44  0.16  0.23    0.01  0.15  0.24   6  6      3.62  0.16  0.28   -0.15  0.17  0.27   4  4      2.31  0.13  0.20    0.19  0.14  0.25   2  2      0.48  0.15  0.24   -0.00  0.15  0.25   3  2     -0.46  0.19  0.24   -0.22  0.16  0.26   6  6      0.30  0.17  0.22    0.19  0.15  0.25   3  2     -1.05  0.19  0.25   -0.69  0.18  0.26   2  1     -1.42  0.18  0.23   -0.11  0.15  0.26   6  1     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -1.01  0.19  0.23   -0.03  0.16  0.26   9  2     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -1.77  0.18  0.22    0.21  0.15  0.25   4  3
        HE2154-2838       44  5303   100  3.18  0.25  0.35 -1.85  0.12  0.19  1.46  0.14  0.24      6.58  0.20  0.25    0.05  0.17  0.27   1  1      5.91  0.11  0.18    0.18  0.14  0.23   7  5      3.96  0.14  0.23   -0.66  0.17  0.26   1  1      4.78  0.12  0.21    0.28  0.14  0.24   9  9      1.51  0.17  0.22    0.20  0.16  0.27   5  5      3.39  0.16  0.21    0.23  0.16  0.25  17 17      2.13  0.16  0.20   -0.01  0.15  0.25   3  3      3.83  0.14  0.24    0.02  0.16  0.24   3  3      3.26  0.15  0.20   -0.28  0.15  0.24   5  5      5.65  0.12  0.19    0.00  0.14  0.22  55 53      3.18  0.18  0.24    0.11  0.17  0.26   6  5      4.19  0.17  0.27   -0.20  0.18  0.26   4  4      2.78  0.14  0.21    0.03  0.15  0.27   2  1      1.15  0.14  0.22    0.03  0.15  0.25   3  2      0.30  0.18  0.23   -0.08  0.17  0.28   6  5      1.15  0.18  0.23    0.40  0.17  0.28   3  2      0.24  0.21  0.29   -0.03  0.22  0.30   2  1     -0.55  0.19  0.23    0.14  0.16  0.29   6  1     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -0.89  0.19  0.24    0.45  0.16  0.29   4  3
        HE2155+0136       37  5331   100  3.22  0.25  0.35 -2.07  0.12  0.19  1.23  0.15  0.25      6.32  0.20  0.25   -0.00  0.18  0.27   1  1      5.73  0.11  0.18    0.22  0.15  0.23   7  5      3.44  0.17  0.25   -0.96  0.18  0.27   1  1      4.66  0.12  0.21    0.37  0.14  0.24   9  8      1.07  0.18  0.23   -0.03  0.17  0.28   5  4      3.16  0.15  0.21    0.21  0.16  0.26  17 13     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.52  0.15  0.26   -0.08  0.17  0.25   3  3      3.01  0.15  0.20   -0.32  0.16  0.24   5  3      5.43  0.12  0.19    0.00  0.14  0.22  55 52      3.00  0.16  0.24    0.15  0.16  0.26   6  6      4.22  0.19  0.28    0.04  0.19  0.28   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.78  0.16  0.24   -0.13  0.17  0.26   3  2     -0.05  0.19  0.24   -0.22  0.18  0.29   6  2     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      0.20  0.21  0.28    0.13  0.21  0.29   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -0.87  0.18  0.23    0.68  0.17  0.29   4  3
        HE2156-3130       60  4692   100  1.28  0.26  0.36 -3.13  0.13  0.18  1.93  0.13  0.23      6.00  0.20  0.27    0.74  0.19  0.29   1  1      5.22  0.11  0.19    0.77  0.15  0.24   5  5      3.27  0.15  0.25   -0.07  0.17  0.27   1  1      3.53  0.11  0.20    0.31  0.15  0.25   5  4      0.42  0.19  0.24    0.39  0.16  0.25   3  3      2.05  0.15  0.20    0.16  0.15  0.22  11 10     -9.99  0.00  0.00   -9.99  0.00  0.00   0  0      2.17  0.17  0.26   -0.37  0.17  0.26   1  1      1.71  0.11  0.23   -0.55  0.16  0.26   4  2      4.37  0.13  0.18    0.00  0.14  0.22  35 34      2.04  0.15  0.22    0.26  0.15  0.24   4  3      2.91  0.17  0.26   -0.21  0.16  0.26   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   1  0     -1.06  0.20  0.30   -0.89  0.19  0.29   2  2     -1.79  0.19  0.24   -0.90  0.17  0.25   4  1     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.48  0.22  0.31    0.52  0.20  0.29   2  1     -1.64  0.18  0.22    0.32  0.16  0.24   3  1     -9.99  0.00  0.00   -9.99  0.00  0.00   7  0     -9.99  0.00  0.00   -9.99  0.00  0.00   5  0     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0
        HE2158-3112       85  4843   100  1.85  0.23  0.33 -2.75  0.12  0.18  1.85  0.11  0.21      5.61  0.20  0.26   -0.04  0.18  0.27   1  1      5.13  0.11  0.18    0.29  0.15  0.23   7  6      3.02  0.14  0.24   -0.71  0.16  0.26   1  1      3.80  0.11  0.20    0.18  0.15  0.24   9  8      0.57  0.17  0.22    0.14  0.15  0.24   5  5      2.44  0.16  0.21    0.16  0.15  0.23  17 17      1.21  0.15  0.20   -0.05  0.15  0.23   3  2      2.59  0.16  0.25   -0.34  0.16  0.25   3  3      2.28  0.14  0.21   -0.37  0.15  0.23   5  4      4.76  0.12  0.18    0.00  0.14  0.22  55 53      2.33  0.15  0.22    0.14  0.15  0.24   6  6      3.46  0.17  0.27   -0.05  0.17  0.26   4  4      2.07  0.13  0.20    0.21  0.14  0.25   2  1      0.03  0.18  0.29   -0.20  0.18  0.28   3  2     -0.79  0.18  0.23   -0.29  0.16  0.25   6  4     -0.10  0.18  0.22    0.04  0.15  0.25   3  1     -1.45  0.19  0.23   -0.84  0.16  0.25   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -2.21  0.18  0.23    0.02  0.16  0.25   4  1
        HE2200-2030       40  5870   100  3.42  0.27  0.37 -2.00  0.12  0.18  1.64  0.15  0.25      6.49  0.17  0.24    0.10  0.18  0.28   1  1      5.82  0.12  0.18    0.24  0.15  0.24   7  4     -9.99  0.00  0.00   -9.99  0.00  0.00   0  0      4.67  0.11  0.20    0.32  0.15  0.25   9  8      1.20  0.18  0.23    0.03  0.17  0.26   5  3      3.26  0.16  0.22    0.25  0.16  0.24  17 12     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      3.58  0.18  0.25   -0.09  0.17  0.25   3  3      2.96  0.18  0.23   -0.43  0.17  0.24   5  3      5.50  0.12  0.18    0.00  0.14  0.22  55 48      2.89  0.15  0.21   -0.03  0.16  0.25   6  3      4.08  0.19  0.26   -0.16  0.18  0.25   4  3     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.90  0.21  0.31   -0.07  0.19  0.29   3  2     -0.06  0.19  0.24   -0.30  0.18  0.27   6  1     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      0.09  0.23  0.28   -0.03  0.20  0.28   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE2201-0637       43  4976   100  2.21  0.25  0.35 -2.61  0.11  0.18  1.69  0.13  0.23      5.93  0.20  0.26    0.14  0.21  0.29   1  1      5.18  0.12  0.19    0.19  0.15  0.24   7  5      2.91  0.21  0.28   -0.96  0.22  0.29   1  1      4.00  0.12  0.20    0.24  0.15  0.25   9  8      0.56  0.18  0.23   -0.01  0.18  0.27   5  4      2.57  0.15  0.21    0.15  0.16  0.24  17 15     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.82  0.18  0.28   -0.26  0.18  0.26   3  3      2.11  0.18  0.25   -0.69  0.18  0.25   5  3      4.91  0.11  0.18    0.00  0.14  0.22  55 52      2.35  0.23  0.29    0.02  0.22  0.31   6  5      3.64  0.21  0.31   -0.02  0.20  0.29   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0      0.28  0.20  0.28   -0.10  0.19  0.28   3  2     -0.64  0.19  0.23   -0.28  0.18  0.28   6  3     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.13  0.20  0.24   -0.66  0.20  0.29   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
        HE2204-1703       36  4932   100  1.87  0.27  0.37 -2.79  0.12  0.18  1.84  0.13  0.23      5.81  0.20  0.26    0.21  0.20  0.29   1  1      5.16  0.12  0.19    0.36  0.15  0.24   7  6      3.27  0.20  0.29   -0.41  0.21  0.30   1  1      3.77  0.12  0.20    0.20  0.15  0.25   9  6      0.61  0.18  0.23    0.23  0.17  0.25   5  4      2.44  0.17  0.22    0.21  0.16  0.24  17 14     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0      2.59  0.18  0.27   -0.29  0.18  0.26   3  3      1.87  0.17  0.23   -0.73  0.17  0.24   5  3      4.71  0.12  0.18    0.00  0.14  0.22  55 45      2.41  0.15  0.22    0.27  0.16  0.25   6  4      3.49  0.21  0.30    0.03  0.20  0.28   4  4     -9.99  0.00  0.00   -9.99  0.00  0.00   2  0     -0.35  0.26  0.36   -0.53  0.24  0.34   3  2     -0.95  0.19  0.24   -0.40  0.18  0.26   6  1     -9.99  0.00  0.00   -9.99  0.00  0.00   3  0     -1.41  0.22  0.26   -0.75  0.20  0.28   2  1     -9.99  0.00  0.00   -9.99  0.00  0.00   6  0     -9.99  0.00  0.00   -9.99  0.00  0.00  10  0     -9.99  0.00  0.00   -9.99  0.00  0.00   9  0     -9.99  0.00  0.00   -9.99  0.00  0.00   8  0     -9.99  0.00  0.00   -9.99  0.00  0.00   4  0
